CODIGO_REGION,CLEC_REG_ACTUAL,MATE1_REG_ACTUAL,MATE2_REG_ACTUAL,HCSOC_REG_ACTUAL,CIEN_REG_ACTUAL,CLEC_INV_ACTUAL,MATE1_INV_ACTUAL,MATE2_INV_ACTUAL,HCSOC_INV_ACTUAL,CIEN_INV_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,571.8488192451997,577.2078212290503,386.2595526561044,470.9421619465497,465.6977648202138,632.5022935779816,597.5360360360361,430.57142857142856,491.34591194968556,513.0428134556574,59.63880341880342,703.48,720.0646153846154,5946,Tarapacá
2,588.8140032741468,594.152276495345,398.1197534487819,479.88133467134975,479.075652637187,670.1029986962191,627.4289405684755,440.1505016722408,524.3045267489712,539.6877971473851,59.49600982197667,699.4222426846736,715.7270308983016,9917,Antofagasta
3,570.9736292428198,568.9820580474934,381.62591549295774,473.3972859148339,461.55555555555554,658.35,599.6311787072243,413.2621359223301,534.3368421052631,513.7832512315271,59.03844510892781,686.2733874412644,704.2834258863734,4695,Atacama
4,585.9458040402243,588.2608031623394,394.1574074074074,481.19594041578,478.1975293390982,667.4934333958724,621.1512915129151,436.93654822335026,546.2253164556962,535.7914183551848,59.290855961798876,693.4083814410948,711.2304183593471,14140,Coquimbo
5,592.4530395690738,591.444362745098,397.65175207234364,490.75864176570457,477.8446789907569,675.5252837977296,626.476388168137,435.248322147651,548.0068493150685,551.0869565217391,59.68731068089029,704.7880284472541,720.7844396154353,30552,Valparaíso
6,596.835327980609,598.1919160989053,406.15423901940756,491.78933660180786,483.9791645071007,664.4423592493298,630.6818181818181,461.5306451612903,543.9707602339181,540.6309734513275,59.233280642023345,691.6528453307393,707.9646765564203,16543,O'Higgins
7,591.2906583232233,598.7905782684038,397.9641439909297,479.9513946098623,478.6331750395734,650.728869374314,615.5182362547632,430.80582524271847,512.8513513513514,514.9532775453278,59.83488228004957,709.1246385790995,724.256970260223,19408,Maule
8,596.8312945973496,601.5130498031833,403.1054048234281,484.1909229208925,484.8104212238488,661.8678286129267,633.2310700319944,439.9369158878505,524.4593679458239,535.839652809502,59.99204826840582,713.6292330764134,727.3453074320789,28750,Biobío
9,585.8354923196715,582.5699092456041,392.586387434555,477.26486351738754,475.0048883969747,651.3844011142062,610.8836583725622,430.86373626373626,518.3610547667342,527.3774834437086,58.952758101399965,683.9023369959284,701.9422165207206,17964,La Araucanía
10,599.0075862707004,598.0697045941664,410.9830367074527,496.3989157047919,482.5124343741365,659.8362403100775,623.4292497625831,459.4370860927152,542.1689497716895,532.8404558404559,59.30927835051546,694.3415038569677,714.5649917093216,13922,Los Lagos
11,596.3549206349206,605.1121076233184,404.6751700680272,504.0459492140266,480.6326530612245,647.9659090909091,608.7684210526315,452.50877192982455,526.320987654321,511.5763888888889,59.96695821185617,712.843537414966,731.7293488824101,2061,Aysén
12,601.8202303455183,598.4316002019182,411.8988603988604,500.78055555555557,487.39446870451235,693.132911392405,667.5987654320987,470.4714285714286,552.952380952381,575.2666666666667,60.315748031496064,723.4220472440945,741.390157480315,2554,Magallanes
13,612.5345089400291,621.5877478098026,426.69073150015925,516.7140401375229,504.13119829633877,690.9047983386163,658.2480891024242,473.47912848706983,580.7814530419374,572.0090021361001,59.35847143253363,695.1710147691027,713.3640965192068,116808,Metropolitana
14,588.7884432617373,578.1788041395171,391.5558806319485,480.8111073020226,472.88254223652456,659.9960396039604,610.8915187376725,440.827868852459,525.9641025641025,526.5680628272252,59.71954674220963,705.8775905770091,725.0140152079916,6722,Los Ríos
15,568.5856540084388,579.3054381515919,391.58663205710576,467.87910976226607,472.99368088467617,624.12,584.0532687651332,436.83006535947715,467.512,509.7538940809969,59.82099596231494,708.5767160161507,720.8694481830418,4501,Arica y Parinacota
16,593.1668763102725,597.9110014104373,399.58992805755395,483.20809676623054,482.840193236715,671.0142653352353,638.6657496561211,452.56485355648533,540.9325396825396,541.9261363636364,60.39026345933562,724.8967926689576,739.7106529209622,8757,Ñuble
