CODIGO_REGION,CLEC_REG_ACTUAL,MATE1_REG_ACTUAL,MATE2_REG_ACTUAL,HCSOC_REG_ACTUAL,CIEN_REG_ACTUAL,CLEC_INV_ACTUAL,MATE_INV_ACTUAL,HCSOC_INV_ACTUAL,CIEN_INV_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,619.2244224422442,539.4513295346628,417.9440110142267,472.69745089845384,487.12981105668297,596.4357429718875,458.1006160164271,513.1116504854369,499.17058823529413,59.44965716347889,697.7535185853483,717.6142186936124,5630,Tarapacá
2,634.494632313473,549.8840912157603,420.50457277240656,488.2400110987791,497.663901179941,615.3921568627451,465.30011198208285,519.6165644171779,511.78267716535436,59.31453942441425,694.1432545201669,714.3275917406654,9494,Antofagasta
3,618.4313171283211,533.7780320366132,414.9004550625711,478.51003602676275,489.96020108923335,617.3993902439024,460.11854103343467,527.276923076923,510.2008368200837,59.01574803149607,685.861046780917,708.357109773043,4346,Atacama
4,633.0730495123781,549.2662884160757,422.07179912844987,493.46998535871154,503.3996761570638,632.061403508772,473.9352262644188,534.5033407572383,525.2561274509804,59.0589215389276,686.6648742805211,708.9010148439867,13366,Coquimbo
5,634.0537128094007,549.3451323726541,420.83200469916926,496.80002862868594,502.7605392962841,631.6955555555555,476.95658012533573,549.2410256410257,528.9785318559557,59.40497475092125,696.5990173331513,716.0305377371366,29686,Valparaíso
6,639.3787973692453,557.3888932588688,430.6087028457975,499.39890126659543,505.79348795718107,623.8858044164037,469.0873417721519,545.8167456556082,518.2708133971291,59.011806078874656,685.2130746043707,705.2983546847526,16101,O'Higgins
7,637.9129544989427,556.3901623686723,424.1167860954414,491.5015113350126,502.1147495872317,610.8412852969815,456.1807937285644,522.7583892617449,495.6529209621993,59.58793500933143,702.007794488967,719.5893621692832,18350,Maule
8,642.583917597161,558.4676146709443,425.68360787464843,489.9117238987166,505.31534954407294,620.8285626346568,474.18058132343845,519.593991416309,511.70554827435564,59.75882079019952,707.0276175806856,723.7799906866784,28091,Biobío
9,632.2246748420662,545.7318398332837,421.13226381461675,486.32467714766983,498.66860058017403,613.0725356478612,461.00686641697877,512.7004754358162,509.66473988439304,58.71499186207728,677.0036168545422,698.4065947314485,16703,La Araucanía
10,640.7568337129841,555.9480643013412,434.6707946336429,503.6657499083242,502.52036067481095,623.99341563786,470.5929941618015,538.9861386138614,510.37232704402516,58.906753845010776,682.5897912177725,707.299650791292,13575,Los Lagos
11,642.5777027027027,551.6612576064908,428.33025830258305,512.9973045822103,496.8092105263158,609.4188481675393,462.0052356020942,535.7816091954023,494.5826771653543,59.21465163934426,691.3022540983607,712.843237704918,1988,Aysén
12,648.7063740856844,563.2236220472441,429.5890410958904,508.3060606060606,509.6999220576773,625.7385321100918,462.24545454545455,541.8735632183908,513.1806451612903,59.9891349770163,713.6765566234851,733.5900543251149,2419,Magallanes
13,654.507161085933,579.0713874368743,448.96057012068246,520.354893456534,523.9941400527396,647.7053571428571,499.49622285174695,570.4121541735635,548.3384704018436,59.09668357533303,687.5284629217102,710.2505524392317,113563,Metropolitana
14,630.774468892261,539.3821571238349,417.1400666984278,489.8502824858757,493.328322147651,618.484693877551,452.4327086882453,532.3735408560311,504.55445544554453,59.20048236358155,690.9504069942719,713.7006331022008,6676,Los Ríos
15,616.9422372499296,537.2699177771477,413.43839541547277,468.0037115588547,492.99241786015165,584.3712446351931,448.94854586129753,494.76502732240436,497.54128440366975,59.780224822206925,707.2780454232623,722.9424179857765,4401,Arica y Parinacota
16,636.4086751254057,556.4097900029577,425.8185810810811,486.9364289662797,502.11803740197064,623.1180722891567,471.74002418379683,523.7890173410404,518.1917808219179,60.10583762570518,716.8509933774834,733.7781456953643,8208,Ñuble
