CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,425.32964329643295,423.5219352193522,249.42127921279211,280.71053710537103,59.30319803198032,613.3685936859368,635.8556785567856,4878,Tarapacá
2,444.8110560058062,441.7043667594049,215.70110076206603,312.6910608443208,59.06193298657312,609.1403169227048,629.3216402564412,8267,Antofagasta
3,444.70162329296573,441.63694923988663,241.85081164648287,300.44215408399896,58.75212574078846,599.9670188095852,621.3383148673022,3881,Atacama
4,447.98941229250784,443.86837146702555,245.54966352624496,309.10489008524,58.88604755495738,603.2000897263347,625.2372364288918,11145,Coquimbo
5,455.4310676622277,449.38172581017625,273.0165499191748,286.4058194134401,59.07824647833115,608.1072280809791,628.4104379955354,25982,Valparaíso
6,460.2468603419579,455.5602965652898,251.5461491904978,304.75359358450595,59.0442578302315,606.4818429414435,628.2278710848842,13218,O'Higgins
7,454.34262589928056,452.1559609455293,265.5433581706064,325.4901721479959,59.40840184994861,614.754753340185,632.7060637204522,15568,Maule
8,457.5933634871713,455.7447864547893,240.25841572269144,334.7859744626346,59.44742424848897,615.069647360205,632.5490533562822,24983,Biobío
9,443.8353473252774,435.95964949473534,248.2811108755565,314.36301321461383,58.613878877817825,596.5962122818175,618.0154052717122,14151,La Araucanía
10,449.6625310173697,444.94549805033677,242.67901453385323,293.3920595533499,58.9212158808933,602.9289259127969,627.9872385678838,11284,Los Lagos
11,433.3316983445739,428.27529123237275,242.2066217044758,287.1017780502759,59.05334150827713,606.677498467198,631.4218270999387,1631,Aysén
12,452.5150156880323,444.1142985208427,270.2021515015688,282.1156432093232,59.70551322277006,621.9112505602868,640.3527566113851,2231,Magallanes
13,468.36827141393235,463.9873716570556,253.44918523578934,295.15939641142074,58.792642006068036,602.2531495509253,624.8901022724989,99538,Metropolitana
14,447.17855218250406,438.02927968385126,252.09035387102568,297.8043829710796,59.21537632477097,609.6410993353692,632.6296030177833,5567,Los Ríos
15,434.0842214712763,444.5812321289316,246.8585911099558,290.64985703145305,59.52742396672732,617.7514946711724,632.0907200415909,3847,Arica y Parinacota
16,455.4015791660895,457.59551184374567,256.9565036708685,320.1630419725724,59.695802742762154,621.2237151960105,637.2931153899432,7219,Ñuble
