CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,477.2525351014041,483.6608814352574,305.1558112324493,278.0499219968799,57.31630265210608,572.6363104524181,5128,Tarapacá
2,481.3403812824957,490.615424610052,269.6720970537262,305.23448873483534,56.392547660311955,548.7069324090121,5770,Antofagasta
3,469.6512433113,480.2502360717658,340.71073339628583,250.22946175637395,56.213408876298395,546.7094743468681,3177,Atacama
4,478.47810371194214,484.50159877658837,324.3504796329765,274.175448352565,56.614486306130964,555.0753510357292,7193,Coquimbo
5,491.18766973176423,487.5819715088856,343.6095573872028,264.92162561341655,56.33298394397065,550.9743198818429,20989,Valparaíso
6,487.2481322164365,492.1964002716776,331.040412044374,268.9986416119538,56.83291827031922,560.6486302920534,8834,O'Higgins
7,501.1385276489879,506.26642542123716,332.41931471220175,321.08888386294245,57.346036412982016,571.2493497681783,8843,Maule
8,495.3014356254572,502.137024506218,330.8825896122897,328.22704828090707,56.959262984637895,563.3864301389905,21872,Biobío
9,494.4692812044682,493.0053423992229,326.2617775619233,317.07928606119475,55.72875182127246,542.6986401165615,8236,La Araucanía
10,500.80783774492954,496.4409304457431,335.3060616477598,290.30273862724874,56.28864443680531,552.0215423398648,8727,Los Lagos
11,506.3695420660277,510.3855165069223,326.2310969116081,297.21299254526093,54.36208732694356,523.4121405750799,939,Aysén
12,493.8205677557579,488.6968398500268,295.77129084092127,289.626138189609,57.52597750401714,573.7445099089448,1867,Magallanes
13,512.7800181579197,508.6223288209548,329.87141753729827,265.8799273683212,55.92018645744407,546.2517446508666,73797,Metropolitana
