CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,466.01670822942646,462.41097256857853,268.1643391521197,270.90872817955113,56.089775561097255,544.1002493765586,564.5822942643391,4010,Tarapacá
2,465.8013875663175,465.357638416542,227.45816895660454,304.6045435995103,55.765610121071965,536.1629710243504,554.1440620323765,7351,Antofagasta
3,464.4984777193468,465.06836424024357,266.7199003598118,286.0387489620814,55.58234154442292,532.3346249654027,553.5936894547467,3613,Atacama
4,472.80085915925133,473.63628925028127,266.0058300092053,294.65142681804235,55.868466809859875,538.507926766902,561.0715966042753,9777,Coquimbo
5,472.057978469339,467.1332622992982,311.29400742183196,263.67762795311756,55.58073997868979,535.2746445236434,555.2114487268987,27217,Valparaíso
6,475.0917086499872,476.30313380582356,278.08103492443,272.11749637093334,56.04517120655794,541.8299035095209,562.0894031252668,11711,O'Higgins
7,476.87602322815366,474.54348282375986,275.1087245504793,318.23144196459805,56.52284334989155,552.3922899321346,573.4119499055482,14293,Maule
8,471.49548002462495,474.91941807342124,262.07147717331435,322.36257006771865,56.338690341185234,548.0901726987007,565.2116126105693,30863,Biobío
9,467.52769478280857,464.0907071171378,257.71661686968514,313.9017084195204,55.50340917796675,530.4929135064737,553.984141576649,13053,La Araucanía
10,482.72432701894314,476.0726819541376,274.7409770687936,281.4691924227318,55.78973080757727,536.0121635094716,561.9529411764706,10030,Los Lagos
11,474.0404386566141,460.4352296093214,293.5510623714873,264.8834818368746,55.49691569568198,531.3221384509939,556.3543522960932,1459,Aysén
12,470.6197632058288,465.4526411657559,285.971766848816,265.42076502732243,56.48861566484517,553.3283242258652,572.5514571948999,2196,Magallanes
13,495.7208243542659,488.8296455924161,279.01146285448345,275.1076375188434,55.228801813012815,528.7339970255258,550.5797695288393,98841,Metropolitana
14,468.1808453718566,462.76903870162295,250.0155163188871,284.4843945068664,55.951489209916176,541.7032281077225,568.0504726235064,5607,Los Ríos
15,450.5650756003558,457.83575452119777,262.4515268307145,277.22294693151497,56.95493625852357,560.7156833679218,577.1040616661726,3373,Arica y Parinacota
