CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,483.235145172181,485.8350776502363,309.81043214044564,273.9701215395003,56.96742066171506,564.4225185685348,5924,Tarapacá
2,490.9138510808647,493.81473178542836,276.93306645316255,294.408967173739,56.050600480384304,543.6081665332266,6245,Antofagasta
3,473.53456356180436,482.92560046865844,329.16198008201525,243.3605741066198,54.50732278851787,528.8096074985355,3414,Atacama
4,482.3292969668469,485.51963320009406,328.278861979779,259.01469550905244,55.25511403715025,536.4833059017164,8506,Coquimbo
5,491.11049012906597,486.94495597281974,345.410638896707,247.16537332636403,55.59736238993205,538.9901089622451,24871,Valparaíso
6,489.1184834123223,489.5140786172289,330.5609144131586,248.83718985224422,55.57243750580801,543.2753461574204,10761,O'Higgins
7,496.0111401218451,498.68015665796344,319.6900783289817,301.78189730200177,56.57180156657964,557.9506527415143,11490,Maule
8,494.07315739593207,497.87515491725594,323.4464533061165,312.88594444849457,56.186228767223156,550.5410439600496,27434,Biobío
9,490.80108077890617,487.3014068759899,317.92257523525575,289.0611199105562,55.0866486536849,529.9476381254076,10733,La Araucanía
10,500.1568905261169,493.1981675639936,321.86455086426747,277.09511665249835,55.75781618966657,542.8763577972986,10587,Los Lagos
11,509.6129326047359,505.9918032786885,323.6830601092896,285.62841530054646,54.84426229508197,522.492714025501,1098,Aysén
12,499.2598700649675,496.3463268365817,302.27386306846574,263.3193403298351,56.84807596201899,566.6456771614193,2001,Magallanes
13,510.837397822474,504.92460061730486,323.6658074144422,251.46631392101662,54.91222060170268,530.3705525217922,88449,Metropolitana
