CODIGO_REGION,NUM_ESTUDIANTES_ADMISION,NOMBRE_REGION,NUM_ESTUDIANTES_MATRICULADOS,CONEXIONES_POR_VIVIENDA,TASA_MATRICULA
1,5946,Tarapacá,2140,59.29439523081541,35.99058190380087
2,9917,Antofagasta,3847,76.53356568850317,38.791973379046084
3,4695,Atacama,1803,48.230859092244735,38.40255591054313
4,14140,Coquimbo,4963,52.00879863728423,35.0990099009901
5,30552,Valparaíso,11345,60.91185077810902,37.13341188792878
6,16543,O'Higgins,6143,48.50307620658382,37.13353079852506
7,19408,Maule,7685,43.39977396486181,39.59707337180544
8,28750,Biobío,11756,65.2011719518507,40.89043478260869
9,17964,La Araucanía,6917,42.46822711895401,38.504787352482744
10,13922,Los Lagos,5762,44.93866017389927,41.38773164775176
11,2061,Aysén,860,46.03587409645466,41.72731683648714
12,2554,Magallanes,967,71.88899186758391,37.862176977290524
13,116808,Metropolitana,45872,74.81963100447815,39.27128278885008
14,6722,Los Ríos,2757,45.08417857084462,41.01457899434692
15,4501,Arica y Parinacota,1878,67.2286188856623,41.724061319706735
16,8757,Ñuble,3455,40.33426302454811,39.45415096494233
