Código,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2017,Límite inferior,Límite superior,Metodología de Estimación,% pobreza
9121,IX de la Araucanía ,Cholchol,4292,0.41604544,0.3685933,0.5193373,SAE,0.41604544
8314,VIII del Biobío,Alto Biobío,3741,0.39734079,0.3309114,0.4700336,SAE,0.39734079
9106,IX de la Araucanía ,Galvarino,3647,0.37286297,0.327164,0.4614834,SAE,0.37286297
9116,IX de la Araucanía ,Saavedra,4285,0.35380893,0.2911257,0.4303239,SAE,0.35380893
9118,IX de la Araucanía ,Toltén,3104,0.35105058,0.3167962,0.4633955,SAE,0.35105058
16202,XVI de Ñuble,Cobquecura,1501,0.34175233,0.2986182,0.4080705,SAE,0.34175233
9205,IX de la Araucanía ,Lonquimay,3626,0.33480922,0.2834318,0.4224318,SAE,0.33480922
9207,IX de la Araucanía ,Lumaco,2995,0.33320903,0.2781374,0.4099271,SAE,0.33320903
10306,X de los Lagos,San Juan de la Costa,2111,0.32140196,0.2799723,0.4097908,SAE,0.32140196
9119,IX de la Araucanía ,Vilcún,7633,0.31972391,0.2863689,0.4079313,SAE,0.31972391
9109,IX de la Araucanía ,Loncoche,6116,0.30205946,0.2781759,0.3457187,SAE,0.30205946
16104,XVI de Ñuble,El Carmen,3027,0.28766531,0.2389271,0.3541815,SAE,0.28766531
8302,VIII del Biobío,Antuco,963,0.28763007,0.257089,0.3937522,SAE,0.28763007
9117,IX de la Araucanía ,Teodoro Schmidt,4181,0.27462362,0.217962,0.338835,SAE,0.27462362
10210,X de los Lagos,Quinchao,2254,0.2695973,0.2176706,0.3514287,SAE,0.2695973
9204,IX de la Araucanía ,Ercilla,2335,0.26687255,0.1934333,0.3077258,SAE,0.26687255
1402,I de Tarapacá ,Camiña,220,0.2644559,,,Estimación Sintética,0.2644559
8207,VIII del Biobío,Tirúa,2933,0.26080515,0.2069525,0.3332156,SAE,0.26080515
9110,IX de la Araucanía ,Melipeuco,1323,0.25711641,0.1995975,0.335429,SAE,0.25711641
16204,XVI de Ñuble,Ninhue,1173,0.25342266,0.1997868,0.308313,SAE,0.25342266
