Código,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2017,Límite inferior,Límite superior,Metodología de Estimación,% pobreza
13132,XIII Metropolitana de Santiago,Vitacura,99,0.00134706,,,Estimación Sintética,0.00134706
13114,XIII Metropolitana de Santiago,Las Condes,558,0.00190685,0.0,0.0035325,SAE,0.00190685
12402,XII de Magallanes y Antártica Chilena,Torres del Paine,4,0.00317063,,,Estimación Sintética,0.00317063
12303,XII de Magallanes y Antártica Chilena,Timaukel,2,0.00403033,,,Estimación Sintética,0.00403033
13123,XIII Metropolitana de Santiago,Providencia,513,0.00431632,0.000322,0.0066293,SAE,0.00431632
12103,XII de Magallanes y Antártica Chilena,Río Verde,4,0.00715318,,,Estimación Sintética,0.00715318
13120,XIII Metropolitana de Santiago,Ñuñoa,1143,0.00898452,0.0042128,0.0143392,SAE,0.00898452
13113,XIII Metropolitana de Santiago,La Reina,875,0.00985902,0.0024765,0.0191856,SAE,0.00985902
12104,XII de Magallanes y Antártica Chilena,San Gregorio,11,0.01344931,,,Estimación Sintética,0.01344931
2103,II de Antofagasta ,Sierra Gorda,30,0.01411298,0.0022541,0.0515656,SAE,0.01411298
12101,XII de Magallanes y Antártica Chilena,Punta Arenas,2528,0.02074918,0.0167286,0.0255492,SAE,0.02074918
12301,XII de Magallanes y Antártica Chilena,Porvenir,102,0.02104077,,,Estimación Sintética,0.02104077
12401,XII de Magallanes y Antártica Chilena,Natales,477,0.02325635,0.0125172,0.0357844,SAE,0.02325635
12302,XII de Magallanes y Antártica Chilena,Primavera,27,0.0232769,,,Estimación Sintética,0.0232769
5103,V de Valparaíso ,Concón,1968,0.0241616,0.0083428,0.0401239,SAE,0.0241616
13119,XIII Metropolitana de Santiago,Maipú,28806,0.02569542,0.0188792,0.0326254,SAE,0.02569542
11101,XI Aysén del General Carlos Ibáñez del Campo,Coyhaique,1646,0.02783752,0.0206107,0.0343327,SAE,0.02783752
13115,XIII Metropolitana de Santiago,Lo Barnechea,3593,0.02842101,0.0203888,0.0382472,SAE,0.02842101
12102,XII de Magallanes y Antártica Chilena,Laguna Blanca,8,0.02925657,,,Estimación Sintética,0.02925657
12201,XII de Magallanes y Antártica Chilena,Cabo de Hornos,61,0.02946632,,,Estimación Sintética,0.02946632
